t_ns,t_ms,step,tag,allocated_B,reserved_B,max_allocated_B,max_reserved_B,allocated_MB,reserved_MB,max_allocated_MB,max_reserved_MB
1770268968571417287,0.0,0,step_start,6624256,46137344,6624256,46137344,6.624256,46.137344,6.624256,46.137344
1770268968572487212,1.069925,0,after_h2d,6624256,46137344,6624256,46137344,6.624256,46.137344,6.624256,46.137344
1770268968572820723,1.403436,0,before_next_prefetch,6624256,46137344,6624256,46137344,6.624256,46.137344,6.624256,46.137344
1770268968574852588,3.435301,0,after_data_wait_next,6624256,46137344,6624256,46137344,6.624256,46.137344,6.624256,46.137344
1770268968575516545,4.099258,0,after_h2d_prefetch_next,9770496,46137344,9770496,46137344,9.770496,46.137344,9.770496,46.137344
1770268968575935608,4.518321,0,before_forward,9770496,46137344,9770496,46137344,9.770496,46.137344,9.770496,46.137344
1770268969093700402,522.283115,0,after_forward,53580800,92274688,53580800,92274688,53.5808,92.274688,53.5808,92.274688
1770268969130359685,558.942398,0,after_loss,53584384,92274688,53584384,92274688,53.584384,92.274688,53.584384,92.274688
1770268969319092973,747.675686,0,after_backward,28183040,113246208,70174720,113246208,28.18304,113.246208,70.17472,113.246208
1770268969341477630,770.060343,0,after_opt_step,28504576,113246208,70174720,113246208,28.504576,113.246208,70.17472,113.246208
1770268969341855575,770.438288,0,step_end,28504576,113246208,70174720,113246208,28.504576,113.246208,70.17472,113.246208
1770268969387756039,816.338752,1,step_start,28505088,113246208,28505088,113246208,28.505088,113.246208,28.505088,113.246208
1770268969388204839,816.787552,1,after_h2d,25358848,113246208,28505088,113246208,25.358848,113.246208,28.505088,113.246208
1770268969388513533,817.096246,1,before_next_prefetch,25358848,113246208,28505088,113246208,25.358848,113.246208,28.505088,113.246208
1770268969389081017,817.66373,1,after_data_wait_next,25358848,113246208,28505088,113246208,25.358848,113.246208,28.505088,113.246208
1770268969389526220,818.108933,1,after_h2d_prefetch_next,28505088,113246208,28505088,113246208,28.505088,113.246208,28.505088,113.246208
1770268969389999706,818.582419,1,before_forward,28183552,113246208,28505088,113246208,28.183552,113.246208,28.505088,113.246208
1770268969394470868,823.053581,1,after_forward,61632512,115343360,63713280,115343360,61.632512,115.34336,63.71328,115.34336
1770268969395681339,824.264052,1,after_loss,61635584,115343360,63713280,115343360,61.635584,115.34336,63.71328,115.34336
1770268969399215147,827.79786,1,after_backward,28505088,115343360,69706240,115343360,28.505088,115.34336,69.70624,115.34336
1770268969444835752,873.418465,1,after_opt_step,28505088,115343360,69706240,115343360,28.505088,115.34336,69.70624,115.34336
1770268969445187037,873.76975,1,step_end,28505088,115343360,69706240,115343360,28.505088,115.34336,69.70624,115.34336
1770268969445492124,874.074837,2,step_start,28505088,115343360,28505088,115343360,28.505088,115.34336,28.505088,115.34336
1770268969445810206,874.392919,2,after_h2d,25358848,115343360,28505088,115343360,25.358848,115.34336,28.505088,115.34336
1770268969446108791,874.691504,2,before_next_prefetch,25358848,115343360,28505088,115343360,25.358848,115.34336,28.505088,115.34336
1770268969446511453,875.094166,2,after_data_wait_next,25358848,115343360,28505088,115343360,25.358848,115.34336,28.505088,115.34336
1770268969447079258,875.661971,2,after_h2d_prefetch_next,28505088,115343360,28505088,115343360,28.505088,115.34336,28.505088,115.34336
1770268969447702798,876.285511,2,before_forward,28183552,115343360,28505088,115343360,28.183552,115.34336,28.505088,115.34336
1770268969451744347,880.32706,2,after_forward,61632512,115343360,63713280,115343360,61.632512,115.34336,63.71328,115.34336
1770268969452184981,880.767694,2,after_loss,61635584,115343360,63713280,115343360,61.635584,115.34336,63.71328,115.34336
